school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
MAYFLOWER PRIMARY SCHOOL,Science,STEM@MFPS,Music & Performing Arts,"LLP@MFPS: Development of Character, Citizenship and 21CC in and through the Arts",NULL,NULL
MAYFLOWER SECONDARY SCHOOL,Languages & Humanities,Developing confidence and curiosity through effective communication,Music & Performing Arts,Developing a zest for life through aesthetics,NULL,NULL
MEE TOH SCHOOL,Interdisciplinary,"Educate, Engage and Empower Eco-Citizens @MTS",Sports & Outdoor Education,SENCE @ MTS,NULL,NULL
MERIDIAN PRIMARY SCHOOL,Interdisciplinary,"Nurturing Future Learners, Citizens and Leaders through a whole school interdisciplinary approach in Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21CC,NULL,NULL
MERIDIAN SECONDARY SCHOOL,Aesthetics,Aesthetics,Community & Youth Leadership,Community and Youth Leadership,NULL,NULL
METHODIST GIRLS' SCHOOL (PRIMARY),Languages,Language and Communication,Sports & Outdoor Education,Outdoor and Sports Programme at MGS,NULL,NULL
MONTFORT JUNIOR SCHOOL,Science,"Developing Future Ready Monfortians: I Dream, I Believe, I Make",Sports & Outdoor Education,Character Matters: Developing Montfortians with CHRISTE values through sports,NULL,NULL
MONTFORT SECONDARY SCHOOL,STEM,"Made In Montfort ? Design, Code, Make",Sports & Outdoor Education,Student Leadership through Outdoor Adventure & Sports,NULL,NULL
NAN CHIAU HIGH SCHOOL,STEM,Electronics in Health Sciences and Health Care Technology,Music & Performing Arts,"Enhancing Expression, Creativity and Aesthetics Appreciation (ECAA) through the ARTS (Drama, Puppetry and Creative Lyrics Composition)",NULL,NULL
NAN CHIAU PRIMARY SCHOOL,Interdisciplinary,Applied Learning@NCPS through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership LLP - A Whole School Approach),NULL,NULL
NAN HUA PRIMARY SCHOOL,Interdisciplinary,NHPS Thinking Programme,na,From ME to WE: Forging the Path to Purpose,NULL,NULL
NANYANG PRIMARY SCHOOL,Innovation & Enterprise,Problem-Solving Through Maker Education,Music & Performing Arts,Building Cultural Quotience Through Dance,NULL,NULL
NAVAL BASE PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (HOPES) Programmes,NULL,NULL
NAVAL BASE SECONDARY SCHOOL,Aesthetics,Applied Learning in Art,Sports & Outdoor Education,"Character Education through Sports Awareness, Commitment and Empowerment (SpACE)",NULL,NULL
NEW TOWN PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,A Leader in Every Child,NULL,NULL
NEW TOWN SECONDARY SCHOOL,Aesthetics,Developing critical and inventive thinkers through visual communication,Community & Youth Leadership,"Developing Confident & Compassionate Student Leaders to Lead, Serve & Excel",NULL,NULL
NGEE ANN PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,"GRACE (Graciousness through Arts, Creating Excellence) in Performing Arts Programme",NULL,NULL
NORTH SPRING PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,NSPS CCE Learning Experience ? A Holistic and Engaging Approach,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
NORTH VIEW PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Every Pupil a Confident Performer,NULL,NULL
NORTH VISTA PRIMARY SCHOOL,ICT & Media,Developing 21st Century Competencies through ICT,Visual Arts & Design,Visual Arts & Design,NULL,NULL
NORTH VISTA SECONDARY SCHOOL,STEM,Investigative Science in Health & Sports,Visual Arts & Design,Nurturing Creative Problem Solvers through the Arts & Design,NULL,NULL
NORTHBROOKS SECONDARY SCHOOL,STEM,Northbrooks Aerospace Programme (Applied Learning In Aerospace),Sports & Outdoor Education,"Northbrooks Outdoor Education: Adventure, Character, Environment (A.C.E.) Programme",NULL,NULL
NORTHLAND PRIMARY SCHOOL,Interdisciplinary,Skilling the Mind; Empowering the Thinking,Music & Performing Arts,"My Story, My Stage",NULL,NULL
NORTHLAND SECONDARY SCHOOL,STEM,ALP Health Sciences - Healthy Lifestyle and Caring for Elderly,Sports & Outdoor Education,Game for Life ? Developing Social Emotional Competencies through Sports and Physical Activities,NULL,NULL
NORTHOAKS PRIMARY SCHOOL,Innovation & Enterprise,Curriculum Integration through Innovation@Northoakes (CI=I@northoakes),Sports & Outdoor Education,"SporTs, OutdooR Programme and Inculcation of Values Education (STRIVE) @ Northoaks",NULL,NULL
OASIS PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Lead with a Heart@Oasis,NULL,NULL
OPERA ESTATE PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Ignite the Arts @ OEPS,Community Service & Student Leadership,"Learn to Lead, Lead to Serve"
ORCHID PARK SECONDARY SCHOOL,Aesthetics,ARTopIA - Arts Appreciation & Values Inculcation through Visual Art,Community & Youth Leadership,OPSS CORE Programme ? Orchid Park Secondary School Community OutReach Education Programme,NULL,NULL
OUTRAM SECONDARY SCHOOL,Business & Entrepreneurship,Business and Enterprise,Sports & Outdoor Education,Sports for Life,NULL,NULL
PALM VIEW PRIMARY SCHOOL,Languages,Act-cellence: Education through Drama Programme,Community Service & Student Leadership,"The Palm View Challenge ? A Leader, An Advocate, A Force For Good",NULL,NULL
PARK VIEW PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Park View Sports Experiential Programme,Community Service & Student Leadership,Leader in Me
PASIR RIS CREST SECONDARY SCHOOL,Languages & Humanities,Effective Communicators of the 21st Century,Music & Performing Arts,Nurturing Crestian Leaders of Tomorrow through Music and the Performing Arts,NULL,NULL
PASIR RIS PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Leaders Growing Leaders,Sports & Outdoor Education,E3 in Sports@PRPS
PASIR RIS SECONDARY SCHOOL,Humanities,Applied Learning in Humanities and Languages through Project DRIVE!,Music & Performing Arts,Learning for Life Programme in Music and Performing Arts through SHINE@PRSS,NULL,NULL
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),NULL,NULL,Sports & Outdoor Education,Aesthetics Sports Experience @ PL,Music & Performing Arts,Music Harmonises @ PL
PEI CHUN PUBLIC SCHOOL,Languages,Bilingual Media Studies (BMS) Programme,Community Involvement & Student Leadership,Pei Chun Leaders Programme (PCLP),NULL,NULL
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,Languages,"Competent, Confident Communicators (C3) ? A 6 year progressive programme.",Sports & Outdoor Education,"STAR (Self-defence, Track & field, Adventure and Racquet games) @ PHPPS",NULL,NULL
PEI HWA SECONDARY SCHOOL,STEM,"Robotics and Programming - Nurturing Leaders, Scholars and Altruists",Community & Youth Leadership,PRIDE of the Community: Developing Altruists,NULL,NULL
PEI TONG PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,MELODY@PEI TONG,NULL,NULL
PEICAI SECONDARY SCHOOL,STEM,?We are what we eat; and what we do? ? Knowing Better; Living Healthier; Transforming Lives,Community & Youth Leadership,Becoming Persons for Others ? Leadership through and for the Community,NULL,NULL
PEIRCE SECONDARY SCHOOL,Languages,Broadcast Journalism,Community & Youth Leadership,Community & Youth Leadership,NULL,NULL
PEIYING PRIMARY SCHOOL,Interdisciplinary,Project THINK (Thinking Holistic Innovative Networked Kids) for Home Earth,Sports & Outdoor Education,"Sports, Character Development and Adventure Learning Experiences @ Peiying (SCALE@PEIYING)",NULL,NULL
PING YI SECONDARY SCHOOL,STEM,Design Education and Aeronautical Engineering,Community & Youth Leadership,Leadership through CCE,NULL,NULL
PIONEER PRIMARY SCHOOL,Interdisciplinary,21CC PW,Music & Performing Arts,Fitness and Graciousness Through Dance,NULL,NULL
POI CHING SCHOOL,Languages,Developing a Bilingual and Effective Speaker and wriTer in every pupil (BEST),Music & Performing Arts,D?ARTS@PCS,NULL,NULL
PRESBYTERIAN HIGH SCHOOL,STEM,Forensic & Pharmaceutical Science,Community & Youth Leadership,Community Youth Leadership,NULL,NULL
PRINCESS ELIZABETH PRIMARY SCHOOL,Innovation & Enterprise,Designing For InclUsivity (Design4U),Community Service & Student Leadership,ASPIRE to Serve and Lead,NULL,NULL
PUNGGOL COVE PRIMARY SCHOOL,Languages,Holistic English Literacy Programme (HELP),NULL,NULL,NULL,NULL
PUNGGOL GREEN PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Learning for Life through Environmental Education And Project Work (L.E.A.P.),NULL,NULL
PUNGGOL PRIMARY SCHOOL,Interdisciplinary,GreeNovation @ PPS,Sports & Outdoor Education,SEL & character development Through Active paRticipation in Sports (S.T.A.R.S.),NULL,NULL
PUNGGOL SECONDARY SCHOOL,STEM,Environment Education,Community & Youth Leadership,"Serving with values and good habits, developing the 21st century gentlemen/ ladies",NULL,NULL
PUNGGOL VIEW PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Building Character through Outdoor Education,NULL,NULL
QIFA PRIMARY SCHOOL,Languages,Effective Communication,Sports & Outdoor Education,CHAMPS @Qifa,NULL,NULL
QIHUA PRIMARY SCHOOL,Innovation & Enterprise,Inventive and Critical Thinking Skills through Innovation and Entrepreneurship Excellence Programme,Sports & Outdoor Education,Promotion of School Values through Sports Development Programme (SDP),NULL,NULL
QUEENSTOWN PRIMARY SCHOOL,Interdisciplinary,Environmental Project-Based Learning@Queenstown Primary School (E-PBL@QtPS),Visual Arts & Design,Connecting the heARTs with ARTs,NULL,NULL
QUEENSTOWN SECONDARY SCHOOL,Humanities,Minds for the Future ? First Cultivating the Disciplined and Synthesising Mind,Community & Youth Leadership,Community & Youth Leadership,NULL,NULL
QUEENSWAY SECONDARY SCHOOL,STEM,Environmental Science Applied Learning Programme: Developing Confident Learners and Caring Citizens,Sports & Outdoor Education,Sports for Life & Outdoor Education Programme: Nurturing Responsible Citizens and Life-long Learners,NULL,NULL
RADIN MAS PRIMARY SCHOOL,Coding,Nurturing 21st Century Competencies through Computational Thinking With Design Thinking,Sports & Outdoor Education,G.R.I.T@RMPS ? Growth Mindset.Resilience.Independence.Teamwork,NULL,NULL
RAFFLES GIRLS' PRIMARY SCHOOL,Languages,Nurturing Confident Communicators,Music & Performing Arts,Developing Creatively Through Collaborative Music Making,NULL,NULL
RED SWASTIKA SCHOOL,Science,Tinkers to Thinkers (T2T) Programme,Community Service & Student Leadership,Every RSS Student A Leader,NULL,NULL
REGENT SECONDARY SCHOOL,STEM,Engineering @ Regent,Community & Youth Leadership,"Empowering every Regenite to be a Responsible and Confident Leader, Committed to Excellence",NULL,NULL
RIVER VALLEY PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Enhancing Character and Citizenship Education with Leadership Development to Edify Lives in RVPS,NULL,NULL
RIVERSIDE PRIMARY SCHOOL,Interdisciplinary,Playworks ? Nurturing Critical and Inventive Thinkers,Community Service & Student Leadership,"PeerWorks ? Building Self, Supporting One Another, Serving the Community Together",NULL,NULL
RIVERSIDE SECONDARY SCHOOL,Languages & Humanities,Global Citizenship Education through Critical Social Inquiry,Music & Performing Arts / Visual Arts & Design,Arts for Life,NULL,NULL
RIVERVALE PRIMARY SCHOOL,Science,Multi-Literacy Programme (MLP),Music & Performing Arts,DANCE FEVER ? Dance Aces Nurturing Cultural Expression For EVEry Riverlite,NULL,NULL
ROSYTH SCHOOL,Science,Augmenting Science Learning through Innovation,Music & Performing Arts,Programme for Aesthetics Integration@Rosyth (PAIR),NULL,NULL
RULANG PRIMARY SCHOOL,Coding,Enhancing 21st Century Competencies Through Robotics,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (STRIVE) @ Rulang",NULL,NULL
SEMBAWANG PRIMARY SCHOOL,Science,Nurturing Green Citizens & Leaders through Environmental Studies,NULL,NULL,NULL,NULL
SEMBAWANG SECONDARY SCHOOL,Languages & Humanities,Critical & Inventive Thinking (CIT) thru Media Literacy,Community & Youth Leadership,Developing Community Leaders through VIA and Outdoor Education,NULL,NULL
SENG KANG PRIMARY SCHOOL,Languages,Enhanced Spoken English Programme,Sports & Outdoor Education,Developing Values and Leadership through Sports Education,NULL,NULL
SENG KANG SECONDARY SCHOOL,STEM,Health Science & Technology,Sports & Outdoor Education,Building Character Through Physical Education & Sports,NULL,NULL
SENGKANG GREEN PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts/ Visual Arts & Design,ICAR2E THROUGH THE ARTS,NULL,NULL
SERANGOON GARDEN SECONDARY SCHOOL,Humanities,Researching Society using Media Communication,Community & Youth Leadership,Nurturing Confident and Compassionate Leaders through Uniformed Groups,NULL,NULL
SERANGOON SECONDARY SCHOOL,STEM,Real-world Explorations in ICT,Community & Youth Leadership,Project Ablaze: Harnessing Student Leadership in the Service of Community,NULL,NULL
SHUQUN PRIMARY SCHOOL,Interdisciplinary,Caring and Responsible Environmentalist (CaRE) Programme,Sports & Outdoor Education,Character and Leadership development through ADventure (CLAD),NULL,NULL
SI LING PRIMARY SCHOOL,Science,Environmental Science Programme,Community Service & Student Leadership,Community and Student Leadership,NULL,NULL
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,Languages,"Stories Opening Windows to the world: Using narratives to appreciate Culture, build Connections and effect Change",Music & Performing Arts,PAM@SC ? Performing Arts and Music at SC,NULL,NULL
SOUTH VIEW PRIMARY SCHOOL,ICT & Media,"energIze, exCite, and exalT! - Learning through Empowering @ SVPS",Music & Performing Arts,Love Dance.  Love Life!,NULL,NULL
SPRINGDALE PRIMARY SCHOOL,Interdisciplinary,Out-of-Door Education (ODE) through Curriculum Integration,Community Service & Student Leadership,Nurturing Leaders with a Heart,NULL,NULL
SPRINGFIELD SECONDARY SCHOOL,STEM,Exploring Health Sciences through SP2A,Community & Youth Leadership,"GEARing Springfielders for Success - Grounding in Values, Engaged to Learn and Lead, Aspiring to Serve, Ready to Soar",NULL,NULL
ST. ANDREW'S JUNIOR SCHOOL,Interdisciplinary,A Saint who Thinks Holistically,Sports & Outdoor Education,"Sports for Life ? Spectator, Supporter and Sportsman",NULL,NULL
ST. ANDREW'S SECONDARY SCHOOL,STEM,Saints Engineering Design Programme,Sports & Outdoor Education,Saints Rugby for Life,NULL,NULL
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,SACPS is FIT for Life ? Building Resilience & Perseverance through Sports & Games,Music & Performing Arts,Developing Confidence and Creativity through the Performing Arts
ST. ANTHONY'S PRIMARY SCHOOL,STEM,CODE@SAPS,Visual Arts & Design,Visual Arts Programme for Active Learning (VAPAL),NULL,NULL
ST. GABRIEL'S PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Montfortian Leadership Programme (MLP),NULL,NULL
ST. GABRIEL'S SECONDARY SCHOOL,STEM,Project GaIA - Gabrielites Inspired for Aviation,Community & Youth Leadership,Developing Life Skills through Uniformed Groups Experience,NULL,NULL
ST. HILDA'S PRIMARY SCHOOL,Languages,Developing confident communicators through an enriched global education -- The Hildan Ambassador?s Education,Visual Arts & Design,"IMPRINTS Alive! Nurturing Creativity and Culture through Performing Arts, Visual Arts and Leadership",NULL,NULL
ST. HILDA'S SECONDARY SCHOOL,Languages & Humanities,iTHink -- the HILDAN Approach to Learning the English Language,Sports & Outdoor Education,Develop the Whole Person through Sports and Outdoor Education,NULL,NULL
ST. JOSEPH'S INSTITUTION JUNIOR,Interdisciplinary,Observe ? Reflect ? Act (ORA @ SJI Junior),Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@SJIJ),NULL,NULL
ST. MARGARET'S PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,"Dance A.L.I.V.E!: Dance for Agility, Life, Ingenuity, Versatility and Expression",Sports & Outdoor Education,Sports A. C2. E: Sports for All; Sports for Continuity & Character; Sports for Excellence
ST. PATRICK'S SCHOOL,STEM,Sports and Health Science,Music & Performing Arts,Music Development Programme,NULL,NULL
ST. STEPHEN'S SCHOOL,NULL,NULL,Music & Performing Arts,MUsic for STephenians  (MUST),Sports & Outdoor Education,Physical EducAtion and Sports for every StephenIAN  (PASSIAN)
STAMFORD PRIMARY SCHOOL,Interdisciplinary,Caring for the Community through Interdisciplinary Learning@Stamford Primary School (C2IL@Stamford),Sports & Outdoor Education,Character and Leadership through Sports and Outdoor Education,NULL,NULL
SWISS COTTAGE SECONDARY SCHOOL,STEM,Applied Sciences for Sustainable Development,Community & Youth Leadership,Swiss Thoughtful Leadership Programme,NULL,NULL
TAMPINES NORTH PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Green for Life (G4Life) Programme: Character Building through Environment Education,NULL,NULL
TAMPINES PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,"STAR ACTtituDE:Pupils with Strengths, Talents, Aspiration and Resilience to achieve A Character Turnaround and Transformation inspired through Drama in Education",NULL,NULL
TAMPINES SECONDARY SCHOOL,STEM,Creative Engineering: Inter-disciplinary Authentic Problem Solving,Music & Performing Arts / Visual Arts & Design,Creative Expressions: Expressing creatively through visual and performing arts (Arts Education),NULL,NULL
TANGLIN SECONDARY SCHOOL,Languages & Humanities,Tanglin P.L.U.S. (Perspectives and Literacies to Understand Society),Music & Performing Arts / Visual Arts & Design,S3 through the Arts@Tanglin Secondary School (TSS),NULL,NULL
TANJONG KATONG PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Team Sports Excellence @ TKP,NULL,NULL
TAO NAN SCHOOL,Mathematics,Application of Mathematics for Lifelong Learning (AML2),Sports & Outdoor Education,ENRICH@TNS,NULL,NULL
TECK GHEE PRIMARY SCHOOL,NULL,NULL,Visual Arts & Design,Confident Communicators with Ceramics (C3),NULL,NULL
TECK WHYE PRIMARY SCHOOL,ICT & Media,Media Whiz Kids! Nurturing Confident and Media Literate Communicators,Community Service & Student Leadership,"I-LEAD, I-SERVE ? Leadership through and as Service",NULL,NULL
TECK WHYE SECONDARY SCHOOL,STEM,Re-designing the Future with Materials Science,Sports & Outdoor Education,"Sports and Sportsmanship Programme @ TWSS (Experience, Expose, Excel)",NULL,NULL
TELOK KURAU PRIMARY SCHOOL,Coding,Innovative Thinking through Coding and Robotics,Sports & Outdoor Education,Character Development through Team Sports,NULL,NULL
TEMASEK PRIMARY SCHOOL,Coding,RoboALERT (Applicative Learning Experience through Robotics at Temasek),Sports & Outdoor Education,SOAR ? Sports Opportunities for Active lifestyle and physical Resilience and Sporting Excellence,NULL,NULL
TOWNSVILLE PRIMARY SCHOOL,NULL,NULL,Visual Arts & Design,Visual Arts for Life @ Townsville,NULL,NULL
UNITY PRIMARY SCHOOL,Languages,CAPtivate! ? Critical Thinking Accelerated Programme @ UPS,Community Service & Student Leadership,CharGE UP! (Character Development through Green & Experiential Learning @ Unity Primary),NULL,NULL
UNITY SECONDARY SCHOOL,STEM,Inspire through Scientific Innovation and Enterprise,Sports & Outdoor Education,Lead through Outdoor and Sporting Adventures,NULL,NULL
WATERWAY PRIMARY SCHOOL,Languages,Orators@Waterway,NULL,Growth and Benefit Mindset,NULL,NULL
WELLINGTON PRIMARY SCHOOL,ICT & Media,Promoting Student Enquiry & Independent Learning through New Media,Music & Performing Arts,"Developing Student Talent and Life-long Learning in Dance through ADDAM (Academy of Dance, Drama, Art & Music)",NULL,NULL
WEST GROVE PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Thoughtful Learning through the Arts,NULL,NULL
WEST SPRING PRIMARY SCHOOL,Science,Sustaining the Earth with Applied Solutions (SEAS),Sports & Outdoor Education,Joyful ExperienC.E. @ West Spring (ExperienC.E. ? Experience Challenging Endeavours),NULL,NULL
WEST SPRING SECONDARY SCHOOL,Languages & Humanities,Effective Communication and Critical Thinking through Media Literacy,Sports & Outdoor Education,"FOCUS (Finding, Optimising, Communicating, Understanding Sports)",NULL,NULL
WEST VIEW PRIMARY SCHOOL,Science,F.R.I.E.N.D of Earth,Music & Performing Arts,"ACE the Arts (Appreciate, Create, Explore to Excel)",NULL,NULL
WESTWOOD PRIMARY SCHOOL,Innovation & Enterprise,Positive Design Applied Learning Programme,Community Service & Student Leadership,Inspiring Student Leadership and Community Service through Positive Education,NULL,NULL
WESTWOOD SECONDARY SCHOOL,Business & Entrepreneurship,Innovation & Social Entrepreneurship,Music & Performing Arts,Arts for Life (AfL),NULL,NULL
WHITE SANDS PRIMARY SCHOOL,ICT & Media,Digital Media in Aesthetics & Languages,Visual & Performing Arts,Visual Art,NULL,NULL
WHITLEY SECONDARY SCHOOL,Languages,Speech Communication Arts,Community & Youth Leadership,Active Citizenship for Social Change,NULL,NULL
WOODGROVE PRIMARY SCHOOL,Languages,Effective Communication via Drama,Music & Performing Arts,Shine and Succeed through Dance,NULL,NULL
WOODGROVE SECONDARY SCHOOL,STEM,Materials Science for Sustainable Living,Community & Youth Leadership,Learners and Leaders for Life,NULL,NULL
WOODLANDS PRIMARY SCHOOL,Languages,Joy of Learning Languages (JOL2@WOODS),Sports & Outdoor Education,Sports Performance And Character Education (SPACE),NULL,NULL
WOODLANDS RING PRIMARY SCHOOL,Science,Investigative Project Work @ WRPS,NULL,NULL,NULL,NULL
WOODLANDS RING SECONDARY SCHOOL,STEM,The Robotics Education & Enterprise (TREE),Community & Youth Leadership,Student Leadership Development through Involvement in the Community Programme,NULL,NULL
WOODLANDS SECONDARY SCHOOL,STEM,"Real Food, Real Science",Community & Youth Leadership,Active Glocal Citizens Programme,NULL,NULL
XINGHUA PRIMARY SCHOOL,Interdisciplinary,Students as Advocates of Environmental Issues in the Community,Visual Arts & Design,Developing Higher Order Thinking Through Visual Art,NULL,NULL
XINGNAN PRIMARY SCHOOL,Science,Xingnan Explorers,Music & Performing Arts,FLAIR@XINGNAN ? An experience with Performing Arts,NULL,NULL
XINMIN PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Cultivating a Life of Values and Excellence (CLOVE),NULL,NULL
XISHAN PRIMARY SCHOOL,Languages,News Enrichment Xishanites Unitedly Share (NEXUS),Sports & Outdoor Education,Empowerment through Sports Education,NULL,NULL
YANGZHENG PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Student Leadership and Life Skills Development through Uniformed Groups,NULL,NULL
YEW TEE PRIMARY SCHOOL,Interdisciplinary,"D.R.E.A.M.@Yew Tee (Developing Reflective Learners, Empowering Creative Minds)",Sports & Outdoor Education,Holistic Enriching and Rewarding Outdoor Education & Sports (HEROES) @ YTPS,NULL,NULL
YIO CHU KANG PRIMARY SCHOOL,Science,ESTEM@YCKPS (ALP in Environmental STEM-based applied learning AT YCKPS),Music & Performing Arts,CREATE@ YCKPS,NULL,NULL
YIO CHU KANG SECONDARY SCHOOL,STEM,Developing inquiring minds and creative learners through Arduino,Music & Performing Arts,"Growing Character Leadership through Arts, Media and Design",NULL,NULL
YISHUN PRIMARY SCHOOL,Science,"Work as a Team, Be Environmentally Green",Music & Performing Arts,"Viva De Symphonie ? Championing Values: Living, Learning and Growing through Music",NULL,NULL
YISHUN SECONDARY SCHOOL,Aesthetics,"Sonic Arts ? Applied Learning in Music, Media and Technology",Community & Youth Leadership,Leadership for Life,NULL,NULL
YU NENG PRIMARY SCHOOL,ICT & Media,The 3E Experience @ YNPS: Nurturing Future-Ready 21st Century Learners,Sports & Outdoor Education,GOal GR3IT ? Character Development through Sports @ Yu Neng Primary,NULL,NULL
YUAN CHING SECONDARY SCHOOL,STEM,Marine Robotics,Sports & Outdoor Education,gRowing Values through Sports and Outdoor Education,NULL,NULL
YUHUA PRIMARY SCHOOL,Interdisciplinary,Think@Yuhua ? Developing Critical and Creative Thinkers,Music & Performing Arts,Building Good Character through Music and the Performing Arts,NULL,NULL
YUHUA SECONDARY SCHOOL,STEM,"Coding, Design, Thinking and Robotics (CODER)",Music & Performing Arts,"MELODY- Music Empowered Learners, Our Dynamic Yuhuans",NULL,NULL
YUMIN PRIMARY SCHOOL,Coding,"I3QUEST ?Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Compassionate Champions, Rooted Singaporeans, Citizens of the World ? Developing 21st CC in Yumin Champions",NULL,NULL
YUSOF ISHAK SECONDARY SCHOOL,STEM,"Programme for Authentic Science, Technology and Environmental Learning",Music & Performing Arts / Visual Arts & Design,H2eArts in Tune Programme: History & Heritage through Arts & Music Programme,NULL,NULL
YUYING SECONDARY SCHOOL,Business & Entrepreneurship,Fostering  Inventive and  Critical Thinking through Design Thinking for Enterprising Learners,Community & Youth Leadership,Totally Wholesome Engaged and Empowered TeenS (TWEETS),NULL,NULL
ZHANGDE PRIMARY SCHOOL,Science,Developing Zhangde GIVER3S Values Through Environment Education,NULL,NULL,NULL,NULL
ZHENGHUA PRIMARY SCHOOL,Interdisciplinary,Advocates and Innovators for Sustainable Living,Music & Performing Arts,Aesthetics Appreciation through Dance Arts Education,NULL,NULL
ZHENGHUA SECONDARY SCHOOL,STEM,Game Design and Simulation and Robotics,Sports & Outdoor Education,Outdoor Education for Character & Leadership Development,NULL,NULL
ZHONGHUA PRIMARY SCHOOL,STEM,ZPS STE(A)M ? Thinknovate,Community Service & Student Leadership,Green Education Movement @ Zhonghua Primary School (GEM@ZPS),NULL,NULL
